frame_time_s,f_hz,A_total_rms,B_residual_rms,thd_n_residual_over_total
1.439999999999999858e+01,5.500000000000000000e+02,4.166524371533470548e+04,1.381867571843911264e+03,3.316595436918855916e-02
1.449999999999999822e+01,5.620000000000000000e+02,4.166870467996761727e+04,1.358111426382725085e+03,3.259308003005051413e-02
1.459999999999999964e+01,5.760000000000000000e+02,4.167320442983993416e+04,1.309744905657968729e+03,3.142894633560099071e-02
1.469999999999999929e+01,5.890000000000000000e+02,4.167618354682536301e+04,1.264756901912448029e+03,3.034723418211813378e-02
1.479999999999999893e+01,6.030000000000000000e+02,4.167681294312311366e+04,1.257931034280725044e+03,3.018299494247412423e-02
1.489999999999999858e+01,6.170000000000000000e+02,4.167605407997533621e+04,1.294433994826160188e+03,3.105941825351730273e-02
1.499999999999999822e+01,6.310000000000000000e+02,4.167479977125357982e+04,1.337047348719893762e+03,3.208287396841103672e-02
1.509999999999999787e+01,6.470000000000000000e+02,4.167335155707318336e+04,1.352534922290003124e+03,3.245563103888240986e-02
1.519999999999999929e+01,6.610000000000000000e+02,4.167220786599267012e+04,1.341499365580268204e+03,3.219170363841034055e-02
1.529999999999999893e+01,6.770000000000000000e+02,4.167175496074416878e+04,1.318655729996131868e+03,3.164387319992494757e-02
1.539999999999999858e+01,6.920000000000000000e+02,4.167176265912317467e+04,1.296791266745812436e+03,3.111918440680374459e-02
1.549999999999999822e+01,7.080000000000000000e+02,4.167175497099457425e+04,1.281770598117656846e+03,3.075873811913674288e-02
1.559999999999999787e+01,7.260000000000000000e+02,4.167170553920859675e+04,1.283265055527667300e+03,3.079463724661455834e-02
1.569999999999999929e+01,7.420000000000000000e+02,4.167203195215484448e+04,1.313233765486195125e+03,3.151355247073062832e-02
1.579999999999999893e+01,7.590000000000000000e+02,4.167252720146394859e+04,1.350590216358365069e+03,3.240960668953427742e-02
1.589999999999999858e+01,7.770000000000000000e+02,4.167248984546881547e+04,1.352601698708907406e+03,3.245790457264891016e-02
1.599999999999999822e+01,7.940000000000000000e+02,4.167217664269220404e+04,1.317795129035727541e+03,3.162290130258461895e-02
1.609999999999999787e+01,8.140000000000000000e+02,4.167250049028520880e+04,1.296718154819415076e+03,3.111687898646036537e-02
1.619999999999999929e+01,8.330000000000000000e+02,4.167321560832415707e+04,1.322392625423775144e+03,3.173243547732441938e-02
1.629999999999999716e+01,8.520000000000000000e+02,4.167299151051371155e+04,1.365439327648243079e+03,3.276557017280017775e-02
1.639999999999999858e+01,8.710000000000000000e+02,4.167127248831795441e+04,1.377831940560417934e+03,3.306431165371004344e-02
1.650000000000000000e+01,8.910000000000000000e+02,4.166914645482500055e+04,1.348799169063296631e+03,3.236925360411636171e-02
